50400|Güterbeförderung auf Binnenwasserstraßen mit Schiffen, die nicht für die Hochsee- oder Küstenschifffahrt geeignet sind
50400|Vermietung von Schiffen mit Besatzung für die Güterbeförderung in der Binnenschifffahrt
51100|Personenbeförderung in der Luftfahrt
51100|Personenbeförderung im Linienflugverkehr
51100|Charterflüge für Personen
51100|Rundflüge
51100|Diese Unterklasse umfasst ferner:
51100|Vermietung von Luftfahrzeugen mit Bedienungspersonal zur Personenbeförderung
51210|Güterbeförderung in der Luftfahrt
51210|Güterbeförderung im Linien- oder Gelegenheitsflugverkehr
51210|Vermietung von Luftfahrzeugen mit Bedienungspersonal zur Güterbeförderung
51220|Raumtransport
51220|Starten von Satelliten und Raumfahrzeugen
51220|Personen- und Güterbeförderung in der Raumfahrt
52101|Erdöl- und Erdgaslagerei
52101|Erdöl- und Erdgaslagerei
52109|Sonstige Lagerei
52109|Betrieb von Lagereinrichtungen für alle Arten von Gütern
52109|Betrieb von Getreidesilos
52109|Lagerhäuser
52109|Kühlhäuser
52109|Lagertanks usw.
52109|Lagerung von Möbeln, die nicht Teil eines Umzugs sind
52109|Lagerung von Waren in ausländischen Handelszonen
52109|Schockgefrieren in Verbindung mit Lagerei
52109|Lagerung von physischen Archiven und Papierunterlagen
52211|Parkhäuser und Parkgaragen
52211|Betrieb von Parkplätzen oder Parkhäusern, Fahrradabstellplätzen, Winterstellplätzen für Wohnwagen
52212|Mautstraßen
52212|Tätigkeiten im Zusammenhang mit der Beförderung von Personen, Tieren oder Gütern auf der Straße und auf sonstigen Landwegen:
52212|Betrieb von Straßen, Brücken und Tunneln, einschließlich Tätigkeiten des Winterdienstes
52212|Mauteinhebungsdienste
52213|Betrieb von Eisenbahninfrastruktur
52213|Tätigkeiten im Zusammenhang mit der Beförderung von Personen, Tieren oder Gütern im Schienenverkehr:
52213|Betrieb von Abfertigungseinrichtungen wie Bahnhöfe, Güterumschlagsanlagen auf Bahnhöfen
52213|Betrieb von Eisenbahninfrastruktur und Einrichtungen des Schienverkehrs, Frachtterminals, technischen Sicherungsposten, Eisenbahntankstellen
52213|Weichenstellen und Rangieren
52219|Erbringung von sonstigen Dienstleistungen für den Landverkehr a.n.g.
52219|Tätigkeiten im Zusammenhang mit der Beförderung von Personen, Tieren oder Gütern auf der Straße und auf sonstigen Landwegen:
52219|Betrieb von Abfertigungseinrichtungen wie Omnibusbahnhöfe, Güterumschlagsanlagen (außer auf Bahnhöfen)
52219|Abschlepp- und Pannendienste
52219|Frachtvermessungstätigkeiten für den LKW-Transport
52219|Verflüssigung und/oder Wiederverdampfung von Erdgas zu Transportzwecken im Landverkehr
52220|Erbringung von sonstigen Dienstleistungen für die Schifffahrt
52220|Unterstützungstätigkeiten für die Beförderung von Personen, Tieren und Gütern zu Wasser:
52220|Betrieb von Abfertigungseinrichtungen, z.B. Häfen und Anlegestellen
52220|Betrieb von Schleusen usw.
52220|Navigation, Lotsendienst, sowie Schlepp-, Fest- und Losmachdienste
52220|Bunkerung und Aufnahme von Hafenabfällen
52220|Leichterung und Bergung
52220|Betrieb von Leuchttürmen
52220|Seefrachtvermessungstätigkeiten
52220|Informationsdienste für Wasserstraßen
52220|Wintereinlagerung von Schiffen und Booten
52220|Gewährleistung der Sicherheit bei Wartungsarbeiten an der Infrastruktur von Wasserstraßen
52220|Verflüssigung und Wiederverdampfung von Erdgas zum Zwecke des Wassertransports außerhalb der Förderstätte
52230|Erbringung von sonstigen Dienstleistungen für die Luftfahrt
52230|Unterstützungstätigkeiten für die Beförderung von Personen, Tieren und Gütern in der Luft:
52230|Betrieb von Flugabfertigungseinrichtungen, z.B. Flughafenterminals
52230|Flughafenkontrolle, Regelung und Überwachung des Flugverkehrs
52230|Bodendienste auf Flughäfen usw.
52230|Gewährleistung der Sicherheit bei Wartungsarbeiten an der Flughafeninfrastruktur
52230|Lagerung von Flugzeugen
52230|Feuerwehren und Brandverhütungsdienste auf Flughäfen
52240|Frachtumschlag
52240|Be- und Entladen von Gütern und Gepäck unabhängig von der Art des benutzten Beförderungsmittels
52240|Stauerei
52240|Be- und Entladen von Güterwaggons
52240|Vermietung und Leasing von Transtainern oder Drehkränen mit Bedienungspersonal für den Frachtumschlag
52240|Transport von Gütern auf Industriegelände, typischerweise mit Transportmitteln, die nicht für den Einsatz auf öffentlichen Straßen geeignet sind
52250|Erbringung von Logistikdienstleistungen
52250|Tätigkeiten von Verteilungszentren
52250|Abholung von Gütern und Zusammenstellung für den Versand
52250|Warenumschlag, z. B. vorübergehendes Verladen und Verpacken von Gütern in Kisten zum Zwecke der Lagerung oder zum Schutz während des Transports, Auspacken, Probeentnahme, Abwiegen von Gütern
52260|Erbringung von sonstigen Dienstleistungen für den Verkehr
52260|Ausstellung und Beschaffung von Transportdokumenten und Begleitpapieren
52260|Zollspedition(en)
52260|Organisation von multimodalen und kombinierten Transportleistungen zu Land (Schienen- und Straßenverkehr), zu Wasser oder in der Luft (intermodaler Transport) im Auftrag der Spedition oder des Empfängers
52260|Organisation und Güterversendungen von Sammel- und Einzelsendungen im Auftrag des Kunden
52310|Vermittlungstätigkeiten für die Güterbeförderung
52310|Diese Unterklasse umfasst die Vermittlung von Güterbeförderungen, indem Kunden und Dienstleistungsanbieter gegen Gebühr oder auf Provisionsbasis zusammengebracht werden, wobei der Vermittler die vermittelten Güterbeförderungsleistungen nicht selbst erbringt. Diese Vermittlungstätigkeiten können auf digitalen Plattformen oder über nicht-digitale Kanäle (persönlich, einschließlich von Tür zu Tür, telefonisch, per Post usw.) durchgeführt werden. Der Vermittler erhält die Gebühr oder Provision entweder vom Kunden oder vom Anbieter der Güterbeförderungsleistung. Einnahmen aus der Vermittlungstätigkeit können auch andere Einkommensquellen umfassen, z. B. Einnahmen aus dem Verkauf von Werbeflächen.
52310|Vermittlung von Eisenbahn-, Schiffs- und Flugzeugfrachtkapazität
52310|Betrieb von Plattformen für die Vermittlung von Güterbeförderungsleistungen
52320|Vermittlungstätigkeiten für die Personenbeförderung
52320|Diese Unterklasse umfasst die Vermittlung von Personenbeförderungen, indem Kunden und Dienstleistungsanbieter gegen Gebühr oder auf Provisionsbasis zusammengebracht werden, wobei der Vermittler die vermittelten Personenbeförderungsleistungen nicht selbst erbringt. Diese Vermittlungstätigkeiten können auf digitalen Plattformen oder über nicht-digitale Kanäle (persönlich, einschließlich von Tür zu Tür, telefonisch, per Post usw.) durchgeführt werden. Der Vermittler erhält die Gebühr oder Provision entweder vom Kunden oder vom Anbieter der Personenbeförderungsleistung. Einnahmen aus der Vermittlungstätigkeit können auch andere Einkommensquellen umfassen, z. B. Einnahmen aus dem Verkauf von Werbeflächen.
52320|Betrieb von Online-Mitfahrzentralen, die es Fahrgästen ermöglichen, eine Fahrt zu buchen
52320|Erbringung von Vermittlungsdiensten für den Kauf von Land-, Wasser- oder Lufttransporten für Fahrgäste
52320|Erbringung von Vermittlungsdiensten für Passagiersitzplätze in Schiffen und Flugzeugen
52320|Vermittlung von Beförderungen durch Taxifunkdienste, ohne Beförderungsleistung
52320|gebührenpflichtige Reservierungsdienste für die Personenbeförderung
53100|Postdienste von Universaldienstleistungsanbietern
